sample_id,target_group,model,time_s,x_m,y_m,z_m,x_yd,y_yd,z_yd
683,100yd,constant_lift,0,0,0,0.01,0,0,0.0109361329834
683,100yd,constant_lift,0.0005179869196,0.0176301758778,-0.00149910119822,0.0166288625943,0.019280594792,-0.00163943700593,0.0181855452694
683,100yd,constant_lift,0.0056978561156,0.193812869967,-0.0164865655758,0.0828003195995,0.211956331984,-0.0180299273576,0.0905515306206
683,100yd,constant_lift,0.0256978561156,0.872050848167,-0.0742943522085,0.33629569418,0.953686404382,-0.0812492915665,0.367777443329
683,100yd,constant_lift,0.0456978561156,1.54710652153,-0.13200685487,0.586614798813,1.69193626589,-0.144364451957,0.641529744983
683,100yd,constant_lift,0.0656978561156,2.21901744627,-0.189624814684,0.83375744762,2.42674698848,-0.207376219034,0.911808232305
683,100yd,constant_lift,0.0856978561156,2.88782064439,-0.247148972046,1.0777235438,3.15815905991,-0.2702854025,1.17861279943
683,100yd,constant_lift,0.105697856116,3.55355261225,-0.304580066422,1.31851307683,3.8862123931,-0.333092811047,1.44194343485
683,100yd,constant_lift,0.125697856116,4.21624932896,-0.361918836169,1.55612611978,4.61094633526,-0.395799252153,1.70180021849
683,100yd,constant_lift,0.145697856116,4.87594626452,-0.419166018357,1.79056282673,5.33239967686,-0.458405531886,1.95818331883
683,100yd,constant_lift,0.165697856116,5.53267838788,-0.476322348595,2.02182343024,6.05061066041,-0.520912454719,2.2110929902
683,100yd,constant_lift,0.185697856116,6.18648017483,-0.533388560874,2.24990823895,6.76561698909,-0.583320823353,2.46052957015
683,100yd,constant_lift,0.205697856116,6.83738561571,-0.590365387401,2.47481763526,7.47745583521,-0.645631438541,2.70649347688
683,100yd,constant_lift,0.225697856116,7.485428223,-0.647253558459,2.6965520731,8.18616384842,-0.707845098927,2.9489852068
683,100yd,constant_lift,0.245697856116,8.1306410387,-0.704053802254,2.91511207575,8.89177716393,-0.76996260089,3.18800533218
683,100yd,constant_lift,0.265697856116,8.77305664164,-0.760766844781,3.13049823379,9.59433141037,-0.831984738387,3.42355449889
